Marketing Carrier|Marketing Carrier Flight Number|Planned Operating Carrier|Planned Operating Carrier Flight Number|Actual Operating Carrier|Actual Operating Carrier Flight Number|Origin|Destination|Date|Day of Week|Departure Scheduled OAG|Departure Scheduled CRS|Departure Actual Gate|Arrive Scheduled OAG|Arrive Scheduled CRS|Arrive Actual Gate|Departure OAG/CRS Delta|Arrival OAG/CRS Delta|Scheduled Elapsed|Actual Gate to Gate|Departure Delay|Arrival Delay|Actual Elapsed Delta|Takeoff|Landing|Tail|Departure Tarmac Time|Arrival Tarmac Time|Cancellation Code|Minutes Late (Carrier Caused)|Minutes Late (Weather)|Minutes Late (NAS)|Minutes Late (Security)|Minutes Late (Inbound Aircraft)
AA|4499|||YX|4499|DCA|HSV|20181215|6|900|900|850|1013|1013|948|0|0|133|118|-10|-25|-15|908|942|N125HQ|18|6||0|0|0|0|0
WN|6688|||WN|6688|MDW|BNA|20181221|5|1825|1825|2101|1945|1945|2209|0|0|80|68|156|144|-12|2109|2205|N288WN|8|4||29|0|0|0|115
AA|5551|||OH|5551|CLT|GSP|20181204|2|1624|1624|1620|1714|1714|1709|0|0|50|49|-4|-5|-1|1641|1703|N587NN|21|6||0|0|0|0|0
DL|2288|||DL|2288|JFK|SAN|20181211|2|800|800|803|1138|1138|1124|0|0|398|381|3|-14|-17|826|1107|N723TW|23|17||0|0|0|0|0
B6|412|||B6|412|ORD|BOS|20181205|3|545|545|605|856|856|924|0|0|131|139|20|28|8|628|920|N183JB|23|4||20|0|8|0|0
UA|2082|||UA|2082|PDX|IAH|20181205|3|500|500|456|1055|1055|1042|0|0|235|226|-4|-13|-9|507|1035|N32404|11|7||0|0|0|0|0
AA|2823|||AA|2823|SJC|ORD|20181222|6|742|742|737|1354|1354|1342|0|0|252|245|-5|-12|-7|756|1332|N960AN|19|10||0|0|0|0|0
AA|3424|||MQ|3424|CLE|ORD|20181221|5|1614|1614|1609|1655|1655|1637|0|0|101|88|-5|-18|-13|1638|1631|N522AE|29|6||0|0|0|0|0
AS|1910|||AS|1910|SFO|LAS|20181204|2|1740|1740|0|1914|1914|0|0|0|94|0|0|0|0|0|0|N843VA|0|0|C|0|0|0|0|0
UA|5319|||OO|5319|GEG|SFO|20181207|5|617|617|605|846|846|844|0|0|149|159|-12|-2|10|637|820|N103SY|32|24||0|0|0|0|0
