Marketing Carrier|Marketing Carrier Flight Number|Planned Operating Carrier|Planned Operating Carrier Flight Number|Actual Operating Carrier|Actual Operating Carrier Flight Number|Origin|Destination|Date|Day of Week|Departure Scheduled OAG|Departure Scheduled CRS|Departure Actual Gate|Arrive Scheduled OAG|Arrive Scheduled CRS|Arrive Actual Gate|Departure OAG/CRS Delta|Arrival OAG/CRS Delta|Scheduled Elapsed|Actual Gate to Gate|Departure Delay|Arrival Delay|Actual Elapsed Delta|Takeoff|Landing|Tail|Departure Tarmac Time|Arrival Tarmac Time|Cancellation Code|Minutes Late (Carrier Caused)|Minutes Late (Weather)|Minutes Late (NAS)|Minutes Late (Security)|Minutes Late (Inbound Aircraft)
WN|603|||WN|603|RDU|MCO|20181210|1|1140|1140|0|1325|1325|0|0|0|105|0|0|0|0|0|0|N220WN|0|0|B|0|0|0|0|0
AA|5734|||YV|5734|HOU|DFW|20181228|5|629|629|0|749|749|0|0|0|80|0|0|0|0|0|0|N931LR|0|0|A|0|0|0|0|0
AA|2513|||AA|2513|MSY|ORD|20181228|5|629|629|0|915|915|0|0|0|166|0|0|0|0|0|0|N906NN|0|0|A|0|0|0|0|0
UA|3976|||EV|3976|ALB|ORD|20181219|3|1300|1300|0|1440|1440|0|0|0|160|0|0|0|0|0|0|N854AS|0|0|C|0|0|0|0|0
UA|4357|||EV|4357|DAY|EWR|20181218|2|1110|1110|0|1303|1303|0|0|0|113|0|0|0|0|0|0|N13979|0|0|C|0|0|0|0|0
DL|3313|||9E|3313|MGM|ATL|20181229|6|600|600|0|807|807|0|0|0|67|0|0|0|0|0|0|N835AY|0|0|B|0|0|0|0|0
AS|1910|||AS|1910|SFO|LAS|20181204|2|1740|1740|0|1914|1914|0|0|0|94|0|0|0|0|0|0|N843VA|0|0|C|0|0|0|0|0
AA|3799|||MQ|3799|CLT|CHO|20181231|1|1114|1114|0|1224|1224|0|0|0|70|0|0|0|0|0|0|N801AE|0|0|A|0|0|0|0|0
WN|1145|||WN|1145|HOU|DCA|20181220|4|2010|2010|0|2355|2355|0|0|0|165|0|0|0|0|0|0|N230WN|0|0|B|0|0|0|0|0
WN|1890|||WN|1890|LBB|DEN|20181213|4|1405|1405|0|1435|1435|0|0|0|90|0|0|0|0|0|0|N7855A|0|0|A|0|0|0|0|0
