Marketing Carrier|Marketing Carrier Flight Number|Planned Operating Carrier|Planned Operating Carrier Flight Number|Actual Operating Carrier|Actual Operating Carrier Flight Number|Origin|Destination|Date|Day of Week|Departure Scheduled OAG|Departure Scheduled CRS|Departure Actual Gate|Arrive Scheduled OAG|Arrive Scheduled CRS|Arrive Actual Gate|Departure OAG/CRS Delta|Arrival OAG/CRS Delta|Scheduled Elapsed|Actual Gate to Gate|Departure Delay|Arrival Delay|Actual Elapsed Delta|Takeoff|Landing|Tail|Departure Tarmac Time|Arrival Tarmac Time|Cancellation Code|Minutes Late (Carrier Caused)|Minutes Late (Weather)|Minutes Late (NAS)|Minutes Late (Security)|Minutes Late (Inbound Aircraft)
AA|3496|||MQ|3496|DFW|BPT|20181228|5|843|843|1111|1000|1000|1224|0|0|77|73|148|144|-4|1128|1221|N849AE|17|3||46|0|0|0|98
B6|352|||B6|352|MCO|BOS|20181227|4|1520|1520|1519|1814|1814|1843|0|0|174|204|-1|29|30|1613|1834|N950JB|54|9||0|0|29|0|0
WN|4343|||WN|4343|BHM|HOU|20181229|6|1950|1950|2020|2145|2145|2206|0|0|115|106|30|21|-9|2028|2203|N749SW|8|3||10|0|0|0|11
WN|6688|||WN|6688|MDW|BNA|20181221|5|1825|1825|2101|1945|1945|2209|0|0|80|68|156|144|-12|2109|2205|N288WN|8|4||29|0|0|0|115
UA|5137|||OO|5137|DEN|HYS|20181227|4|1231|1231|1248|1440|1440|1500|0|0|69|72|17|20|3|1304|1457|N967SW|16|3||17|0|3|0|0
B6|412|||B6|412|ORD|BOS|20181205|3|545|545|605|856|856|924|0|0|131|139|20|28|8|628|920|N183JB|23|4||20|0|8|0|0
AS|170|||AS|170|SEA|MKE|20181226|3|1205|1205|1209|1734|1734|1820|0|0|209|251|4|46|42|1258|1817|N560AS|49|3||0|0|46|0|0
UA|4977|||C5|4977|EWR|MEM|20181205|3|750|750|808|1001|1001|1022|0|0|191|194|18|21|3|847|1016|N14171|39|6||0|0|3|0|18
DL|859|||DL|859|ATL|DAB|20181227|4|1920|1920|2206|2040|2040|2315|0|0|80|69|166|155|-11|2218|2312|N971DL|12|3||0|155|0|0|0
AA|3800|||MQ|3800|ORD|BNA|20181205|3|934|934|945|1104|1104|1121|0|0|90|96|11|17|6|1015|1114|N905JH|30|7||0|0|6|0|11
